ID,Source,Project Name,Date of publication,Project timeline,Theme(s),Theme(s),OGC Tech Trend,,,,,,,,Emerging technology,,,,,,,,,Technology Readiness Level,,,,,,,,,,,,,,Public value,,,,,,,,,,,,,,,,,,Government members delivering Project,Other Members delivering project,Key findings - technology,Key findings - use case,Key findings - governance ,Key findings – open challenges,Key findings - additional notes,link to more info,
,,,,,COFOG,COFOG code,Location & Position,Spatial-Temporal Models,Data Science,Human Interfaces,Physical Geosciences,Societal Geosciences,Sensing and Observations,Computer Engineering,Artificial Intelligence and Machine Learning,Cloud Native Computing,Edge Computing,Blockchain,Immersive Visualisation (VR; MR; AR),Connected Autonomous Vehicles,UxS/Drones,Urban digital twin,5G Cellular,Research and innovation,Proof of concept,Prototype,Production system,Nuts 0,Name,Nuts 1,Name,Nuts 2,Name,Nuts 3,Name,LAU Level 2,Name,Operational,Collaboration,Effectiveness,Efficiency,User-oriented,Political,Transparency,Accountability,Citizen Participation,Equity in accessibility,Openness,Economic Development,Social,Trust,Self Development,Quality of life,Inclusiveness,Environmental sustainability,,,,,,,,,
P1,https://mirador.dipusevilla.es/,Mirador GIS Platform,2007,2007 - ongoing,Community development; cross-cutting,4.4; 6.2; cross-cutting,,,1,1,1,1,,,,,,,,,,,,,,,1,1,Spain,,,,,1,Seville,,,1,1,1,1,,1,1,,,,1,,,,,,,,Diputacion Provincial de Sevilla; Gobierno de Espana: Ministerio de hacienda y administraciones publicas,Geographica,Data is tiered some open source other private. The data  is available through anm WMS Service following the OGM standard. The website notes that new interoperable services with expanded functionality will also be added. ,Use case is asset management. The user is expected to be a technician or manager of a local entity or public sector. The dashboard should allow users to create and display geostatistical series of indicators; both alphanumeric and cartographic. In addition; a system for territorial management was necessary; which would allow the different departments of the Provincial Council to make decisions regarding infrastructures and equipment. This dashboard is very useful for territorial planning; as it allows public administrations to manage a large amount of relevant information: Population; Surfaces; Subsidies; Municipal Incidents; mapping of land for construction; etc. This Dashboard allows you to perform simulations; share data; create new indicators; generate maps and / or export data with just three clicks.,,The Diputación de Sevilla had a large amount of information that was difficult to manage due to the diversity of departments that generated it. It was necessary to create a system capable of organizing and managing data from different sources to carry out improvement measures based on the information obtained. Additional work required to ensure interoperability.,,https://geographica.com/es/casosestudio/portico-diputacion-sevilla/,https://docplayer.net/23392777-The-e-i-e-l-project-an-experience-of-gis-development.html
P2,https://www.barcelona.cat/mobilitat/en/news-and-documents/news/parking-in-loading-and-unloading-areas-made-easier-with-the-spro-app_966316,SPRO Parking and Unloading Application,2020,2020-ongoing,Transport,4.5,1,,1,,,1,,,,,,,,,,,,,,,1,1,Spain,,,,,,,7,Barcelona; Badalona; Castelldefels; Esplugues de Llobregat; L’Hospitalet de Llobregat; Sant Joan Despí; Sant Just Desvern,1,,1,1,1,,,,,,,,1,,,1,,1,Ajuntament de Barcelona,,The app includes a system to forecast the availability of free regulated spaces in Barcelona; helping users to find a specific place for loading and unloading. By introducing the destination and expected time of arrival; the app displays an availability forecast: areas with plenty of available spaces are in green; while areas with average availability are in amber and those with very limited availability are in red. Zones where no forecast data are available are marked in grey.,A new app for parking for professionals working in loading and unloading of goods; based on geolocation; enabling search for free parking spots; advanced features based on area and its designated costing; as well as forecasting features (in terms of occupancy); enabling users to better plan their loading and unloading times and locations. SPRO also enables users to locate DUM places easily thanks to a geolocation system; and to check the expected occupancy and regulated hours for each zone.,,,,https://www.barcelona.cat/mobilitat/en/news-and-documents/news/parking-in-loading-and-unloading-areas-made-easier-with-the-spro-app_966316,
P3,https://positium.com/blog/smart-city-data-driven-solutions-innovation-in-tartu,Tartu Bus Network Planning,2019,2019,Transport,4.5,1,1,1,1,,1,,,,,,,,,,,,,,,1,1,Estonia,,,,,,,1,Tartu,1,,1,1,1,,,,,,,,1,,,1,1,1,City Government Tartu,Postium; WSP Finland,Data driven bus-optimization; utilizing multiple data streams; including geolocation mobile data; Transit smart cards data; service locations data; miscellaneous surveys and qualitative data from focus groups. Using mobile positioning data (passive). People’s mobility is complex; which is why we used over 20 layers of data to create this new network; including data on mobility; planning; bus routes; and land use. Such an approach was chosen to get a thorough overview of where people live; where they go; and how they get from A to B. For example; validation data from electronic bus cards was used to evaluate the actual usage of bus lines; while mobile location data was used to analyse; where people live and work in and around Tartu. Several other data sets were combined with the above-mentioned data; such as information about work and home locations from the Estonian Tax and Customs Board; different data layers from the Land Board; home addresses of school- and kindergarten children; locations of service facilities; and strategic documents concerning transportation and land use planning.,Using multiple data sets (including MPD) to plan a new bus network system in Tartu. ,Included interviews and consultations to verify and add to the findings from the modelling. User-engagement enhanced the serviced delivered.,,One of the project’s goals was to use qualitative data in the form of citizen feedback to complement the quantitative analysis that was based on mobile phone data. When designing complex systems for society it is necessary to understand the users’ point of view as well. The feedback cast light on several socially important aspects that complemented the previous data-driven analysis. For example; early morning buses to Lõunakeskus (a big shopping centre in the outskirts of Tartu) and Tartu prison (also in the outskirts) are important for the people working there; in order to get to work on time. The importance of good; safe connections to schools was emphasised in the planning stages as well. Therefore; for every school; a separate analysis was conducted about where the students live and what the best way for them to get to school would be. A smart city makes sure that services are designed to all of its people; young or old.,https://www.tartu.ee/sites/default/files/uploads/Esitlused/DataDrivenTransportPlanning_ErkiSaluveer.c.pdf,
P4,https://www.researchgate.net/publication/306920856_Sustainable_and_smart_city_planning_using_spatial_data_in_Wallonia,Sustainable and Smart City Planning Using Spatial Data in Wallonia,2016,2016-ongoing,Community Development; multifunctional ,6.2; cross-cutting,,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,Belgium,1,Wallonia,,,,,,,1,,1,,,1,1,,,,1,,1,,,1,,1,Service Public de Wallonia; ,Universite Libre de Bruxelles; Institut Scientifique de Service Public,Noted that INSPIRE directive being implemented in Walloon which now has a high rate of compliance https://geoportail.wallonie.be/INSPIRE-resultats-Wallonie and going through the process of restructuring remaining data sets - semantic differences in land use maps between different areas was identified as a challenge in the project. Research paper covering spatial planning in Wallonia. The use of multiple data streams ensures the holistic view of city life. It can serve as an underpinning for more advanced use cases such as digital twins. The sustainable; dynamic and participative solution includes (i) land cover and land use mapping using remote sensing and GIS; (ii) population density mapping using dasymetric mapping; (iii) predictive modelling of land use changes and population dynamics and (iv) risk assessment. Spatial  planning  relies  heavily  on  existing  and  accessible geospatial  data.  Access  to  geospatial  data  in  Wallonia  is heterogeneous. A willingness of data dissemination is currently on-going at the regional level to answer to Inspire (2007/2/EC) and PSI (2003/98/EC; consolidated by 2013/37/EU) directives. Walloon  authorities  have  developed  a geoportal  (WalOnMap (SPW;  2015)) which  give access  to a  large range  of datasets. However the land use land cover map of Wallonia (COSW) has not been updated since 2007. The fact that land use changes in Wallonia varied from –1.5% for agricultural land to +6.2% for urbanized land between 2005 and 2014 shows that data update is essential (IWEPS; 2015). Wallonia;  like  many  other  European  regions;  has  a  remotely sensed data  acquisition framework. Every year a full coverage of  aerial  photos  is  ordered; a  LiDAR  campaign  has recently been performed and a Pleiades coverage over the whole region has  been acquired.  This research  makes use  of these  existing remotely  sensed  data.  Ancillary  geospatial  and  statistical information are integrated in the analysis:  LULC maps; zoning plan; protected areas; networks; soil;  risks and socio-economic datasets. Secondly;  availability;  limited  access;  quality  or semantic  differences  in  existing  data  induce  some  model adaptations  such  as  calibration;  parameters  and/or  validation phases. The main  challenge in  Wallonia  is  the  adaptation  of existing  LU map  to  the  protocol  and  then  defining  the  LU classes  cross semantic between  the  VITO land  use map  for Flanders  (Van Esch et al.; 2011) and the COSW map from 2008 in Wallonia., The comprehensive and long-term vision of the territory should help to draw sustainable spatial planning policies; to adapt remote sensing acquisition; to update GIS data and to refine risk assessment from regional to city scale. Developing  reliable  and  precise land  use classes  and population  distribution  datasets for  analysing and predicting  health  and  environmental  risks,,This project makes use of existing ICT and scientific methods to have  a  common  spatial  planning  model  in  Wallonia  and Flanders.  A national  land-use  change model  is seen  as a key asset  for  sustainable  spatial  planning.  Homogenizing  risks studies  between regions  is intended  since  natural hazards  are not  stopped  by regional  borders.  However; model  replication from one  region to  another is not  straightforward. First of  all different  modelling  goals;  and  geographical  and  social-economic contexts create a need for different parameter sets and scenarios.  Secondly;  availability;  limited  access;  quality  or semantic  differences  in  existing  data  induce  some  model adaptations  such  as  calibration;  parameters  and/or  validation phases. Finally; knowledge of local and  regional LU processes is required.  semantic differences in land use maps between different areas was identified as a challenge in the project,,https://www.researchgate.net/publication/306920856_Sustainable_and_smart_city_planning_using_spatial_data_in_Wallonia,
P5,http://www.galileo4mobility.eu/pilot-sites/thessaloniki/#pilot,Thessaloniki Shared Taxi Service,2019,2019-ongoing,Transport ,4.5,1,,1,1,,,,,,,,,,,,,,,,1,,1,Greece,,,,,,,1,Thessaloniki ,1,,,1,1,1,,,,1,,,1,,,1,1,1,,Centre for Research and Technology Hellas (CERTH); Taxiway,Shared taxis; supported by Galileo geolocation. ,The Galileo For Mobility demo will aim at alleviating traffic congestion in the city centre by reducing commuting trips from two zones located to the east of the city. The mobility pilot in Thessaloniki will be based on a taxi/ride-sharing service provided by Taxiway. A fleet of 20 taxis will collect passengers from the Thessaloniki suburbs and provide a return trip to the city centre. To concentrate trips in as few vehicles as possible the origin and destination of each journey will be recorded throughout the trial period. The taxis will work on a flat rate basis; mostly funded by the project. After Galileo For Mobility; the service provision will continue and the number of taxis will increase; while the costs will be covered through MaaS credits purchased by Taxiway users.,,,,http://www.galileo4mobility.eu/pilot-sites/thessaloniki/#pilot,
P6,https://mobilitylab.hel.fi/helsinki-ecosystem/,Traffic Monitoring with LIDAR and Edge Computing in Helsinki,2021,2021-ongoing,Transport,4.5,,1,1,,,1,1,1,,,1,,,1,,,,1,,,,1,Finland,,,,,,,1,Helsinki,1,,,1,,,,,,,,,1,,,1,,1,,Forum Virium Helsinki; Jatkasaari Mobility Lab; Nodeon,Testing the use of LIDAR technology and edge computing in traffic monitoring for the purposes of traffic management; planning and counting. Pilot will be launched Spring 2021. ,,"regulatory; organizational; technological environment of Forum Virium Helsinki enables innovative projects piloted in fast iterations. Forum Virium Helsinki has created an enabling environment for experimentation; including support areas with 5G connection; establishing working groups for standardization of data - including geospatial data. The working group is currently working mostly on static spatial data but is also pushing forward with areas not currently covered by INSPIRE e.g. location referencing; connected and automated driving system applications and dynamic events and map database specifications: WG 3 has been involved in standardizing exchange formats between geographic data providers; as well as compact storage formats allowing high-speed
searching. It has also worked on developing functional requirement specifications; data models; and data elements for geographic data. WG 3 has limited its scope to static geographic data but seeks to take part in the standardization
of dynamic data",,,,
P7,https://www.precisely.com/resource-center/customerstories/torfaen-county-council-uses-web-gis-to-boost-savings-and-service,WebGIS in Torfaen County,2017,2017,Community Development; Multi-functional,6.2,,,,1,1,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Torfaen,,,1,1,1,1,1,1,,,,,1,,1,,1,,,,,Pitney Bowes,NA,Transferred GIS to GIS Application Spectrum Spatial Analyst  and MapInfor Pro desktop Mapping GIS application which enabled mobile access to platform - mostly used for emergency services; refuse collection and asset management; including responding to the public's requests. The council did not have sufficient internal capacity to manually update data; the software supported easier mobile upload of a dynamic map. Public web client provides laters relevant for the public.,NA,Original challenge was cost of maintaining up-to-date GIS for public administration and general public use.,,,
P8,https://coronavirus.valencia.es/,Smart City Valencia: Municipal Website for COVID 19,2020,2020-ongoing,Public Health Services,7.4,,1,1,1,,1,,,,,,,,,,,,,,,1,1,Spain ,,,,,,,1,Valencia,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,,1,Smart City Office Valencia,ESRI,A Covid19 evolution panel has also been incorporated; which; using ESRI technology alongside the data provided daily by the Regional Health Board (Conselleria de Sanitat); enables the observation; through various graphs; of the different curves and comparisons and maps of the evolution of this health crisis; including positive cases detected; fatalities; numbers of people hospitalized as well as those who are being discharged. It is an element that has been constantly evolving. Taking advantage of the functionalities brought forward by the VLCi Platform; a series of graphs have been publicly shown as a small extract of the Smart City Dashboards with relevant information on the state of the city of Valencia during the state of alarm by Covid-19 regarding matters such as mobility; urban waste management; pollution and water consumption. This kind of information allows for monitoring of the crisis evolution and  for decision-making based on daily information from the city. (multi-sectoral integration of data using FIWARE European Standard),The Smart City Office has promoted a new municipal website coronavirus.valencia.es that brings citizens closer to all the information regarding aid approved by the local government to mitigate the crisis caused by the coronavirus. This new portal also informs about the municipal services that are being strengthened to respond to the needs of the population. The website is developed by the municipal technicians of the Smart City Office with the technology and the collaboration of ESRI; a technology company in the smartcity field; which enables various geolocation projects of the Valencia City Council within the smart city strategy.,,,,http://smartcity.valencia.es/vlci/covid19-information-website-for-citizens/,
P9,https://d1.awsstatic.com/partner-network/CitySynergy_COVID_War_Room.pdf,Cascais COVID War Room,2020,2020-ongoing,Public Health Services,7.4,,1,1,1,,1,1,,,,,,,,,,,,,,1,1,Portugal,,,,,,,1,Cascais,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,,,Cascais Municipality,Deloitte,Software as a service (city operator interface allowing users to visualize reported incidents perform root-cause analysis and escalate issues for resolution. Exec. Dashboard supports data-driven decision making. And citizen app enables crowdsourcing of data and citizen reporting. ,Integration of Covid War Room (Integrated crisis management solution) into existing City Synergy platform. Real time monitoring of Covid-19 suspicious cases; test scheduling and results; integrated crisis management. ,,,Holistic overview and management of the entire COVID-19 process in one single platform (suspicious cases; test schedules and results; and maps showing the spread of infection) • Maximum efficiency of their health; emergency and other related resources • Citizen engagement; by involving them in the battle against COVID-19 • National and international perception of confidence and security; key to restoring its tourism-based economic activity,,
